product_id,title,make,model,year,engine_code,engine_type,price,currency,stock_text,oem,description
10014,Двигатель,Toyota,Duet,,EJ-VE,unknown,100140,RUB,,,
10025,Двигатель,Toyota,Aqua,,1NZFXE,unknown,100250,RUB,,,
10175,Двигатель,Toyota,Mark II,,1JZ-GE,unknown,101750,RUB,,,
10182,Двигатель,Toyota,Grand Hiace,,5VZ-FE,unknown,101820,RUB,,,
10191,Двигатель,Toyota,Celsior,,1UZFE,unknown,101910,RUB,,,
10223,Двигатель,Toyota,Crown,2007,3UZFE,unknown,102230,RUB,,,
11024,Двигатель,Nissan,Atlas,,ED33,unknown,110240,RUB,,,"Пробег 114 тыс км 24V
Доставка ТК
Самовывоз
Подробнее
об условиях и стоимости доставки здесь
Наличный расчет в офисе компании
Безналичный расчет: на расчетный счет компании или на сайте интернет-магазина при помощи сервиса Yandex Касса (Visa, Mastercard, QIWI, Яндекс.Деньги и другие способы оплаты).
Подробнее
о способах оплаты.
ДВС - 10 дней
АКПП - 7 дней
Остальные запчасти - 3 дня с момента получения в транспортной компании
Кузовные детали, оптика, стекла и электрооборудование продаются без возможности возврата
Ознакомиться с полными условиями
гарантии можно здесь"
11031,Двигатель,Toyota,Dyna,,4B,unknown,110310,RUB,,,
11065,Двигатель,Toyota,Town Ace Noah,,3SFE,unknown,110650,RUB,,,
11074,Двигатель,Isuzu,Bighorn,,4JX1,unknown,110740,RUB,,,
11092,Двигатель,Toyota,Town Ace,,3CE,unknown,110920,RUB,,,
11161,Двигатель,Honda,Domani,,D15B,unknown,111610,RUB,,,"Пробег 67 тыс. км.
Доставка ТК
Самовывоз
Подробнее
об условиях и стоимости доставки здесь
Наличный расчет в офисе компании
Безналичный расчет: на расчетный счет компании или на сайте интернет-магазина при помощи сервиса Yandex Касса (Visa, Mastercard, QIWI, Яндекс.Деньги и другие способы оплаты).
Подробнее
о способах оплаты.
ДВС - 10 дней
АКПП - 7 дней
Остальные запчасти - 3 дня с момента получения в транспортной компании
Кузовные детали, оптика, стекла и электрооборудование продаются без возможности возврата
Ознакомиться с полными условиями
гарантии можно здесь"
11201,Двигатель,Toyota,Camry,,2AZFE,unknown,112010,RUB,,,
11205,Двигатель,Toyota,Sprinter,,5A-FE,unknown,112050,RUB,,,
11214,Двигатель,Honda,Odyssey,,F23A,unknown,112140,RUB,,,
11219,Двигатель,Toyota,Levin,,4AGE,unknown,112190,RUB,,,
11232,Двигатель,Mitsubishi,Pajero iO,,4G93,unknown,112320,RUB,,,
11241,Двигатель,Volkswagen,Polo,,BUD,unknown,112410,RUB,,,
11522,Двигатель,Toyota,Corolla Fielder,,1NZ-FE,unknown,115220,RUB,,,
11528,Двигатель,Volkswagen,Touran,2005,BLX,unknown,115280,RUB,,,
11531,Двигатель,Honda,Odyssey,,F23A,unknown,115310,RUB,,,
11534,Двигатель,Subaru,Stella,,EN07,unknown,115340,RUB,,,
11600,Двигатель,Suzuki,Wagon R,,K6A,unknown,116000,RUB,,,
11603,Двигатель,Mercedes-Benz,A-Class,2008,"M266940, M266E17",unknown,116030,RUB,,,
11607,Двигатель,Mitsubishi,Toppo BJ,,3G83,unknown,116070,RUB,,,
11612,Двигатель,Mitsubishi,Pajero Mini,,4A30,unknown,116120,RUB,,,
11618,Двигатель,Subaru,Pleo,,EN07,unknown,116180,RUB,,,
11623,Двигатель,Mitsubishi,EK Wagon,,3G83,unknown,116230,RUB,,,
11628,Двигатель,Suzuki,Wagon R,,K6A,unknown,116280,RUB,,,
11634,Двигатель,Toyota,Vitz,,2SZFE,unknown,116340,RUB,,,
11810,Двигатель,Volkswagen,Golf,,BVY,unknown,118100,RUB,,,
11815,Двигатель,Audi,A4,,ALT,unknown,118150,RUB,,,
12122,Двигатель,Toyota,Crown,,2JZ-GE,unknown,121220,RUB,,,
12123,Двигатель,Toyota,Crown,,2JZ-GE,unknown,121230,RUB,,,
